date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,anomaly_total_number
2021/12/27,1B0,5,26_49,5116,2
2021/12/27,1C0,3,45_91,4699,2
2021/12/27,1D0,14,64,3241,1
2021/12/27,1E0,1,96,4138,1
2021/12/27,1E0,8,51,3818,1
2022/1/4,1B0,4,31,4822,1
2022/1/4,1B0,7,59_89_109,5011,3
2022/1/4,1B0,11,32_81,5226,2
2022/1/4,1B0,12,47_87_110,5129,3
2022/1/4,1C0,1,9_81,4878,2
2022/1/4,1D0,11,10_38,4218,2
2022/1/4,1D0,12,19_46,3672,2
2022/1/4,1D0,19,21_24,4141,2
2022/1/9,1B0,1,84_85_87,5599,3
2022/1/9,1B0,5,24_96_102,5394,3
2022/1/9,1B0,6,79_110,5284,2
2022/1/9,1B0,18,47_50_120,5007,3
2022/1/9,1C0,11,98_97,4598,2
2022/1/9,1D0,7,12_82,4536,2
2022/1/9,1D0,11,12_13,4316,2
2022/1/9,1D0,12,90_97,4243,2
2022/1/9,1D0,14,72_54,4184,2
2022/1/9,1E0,11,47_91,3646,2
2022/1/14,1B0,2,38_116,4179,2
2022/1/14,1B0,9,72,5235,1
2022/1/14,1C0,5,27_45,4973,2
2022/1/14,1C0,12,46_80,4930,2
2022/1/14,1D0,2,68,4862,1
2022/1/14,1D0,9,49_70,4548,2
2022/1/14,1D0,12,45,4371,1
2022/1/14,1D0,16,76_89,4023,2
2022/1/17,1B0,3,56_98_102,5848,3
2022/1/17,1B0,17,42_47,5334,2
2022/1/17,1C0,2,67_72,5420,2
2022/1/17,1C0,3,81_120,5095,2
2022/1/17,1D0,13,23_121,4377,2
2022/1/17,1D0,15,1_111,4270,2
2022/1/17,1E0,2,83,4378,1
2022/1/17,1E0,16,100,3636,1
2022/1/17,2B0,6,28,2984,1
2022/1/17,2B0,7,29_36,3567,2
2022/1/17,2C0,3,33_51_86,3651,3
2022/1/25,1B0,3,34_77_85,6000,3
2022/1/25,1B0,10,23_28_36,5628,3
2022/1/25,1C0,1,12,5279,1
2022/1/25,1E0,4,104_107,4342,2
2022/1/25,1E0,13,76_90,3862,2
2022/1/25,1E0,16,37,3679,1
2022/1/29,1B0,1,23_26_120,5994,3
2022/1/29,1B0,11,7_45_46,5722,3
2022/1/29,1C0,1,25,5312,1
2022/1/29,1C0,6,47_121,5534,2
2022/1/29,1C0,8,11_102,5380,2
2022/1/29,1C0,19,69,5061,1
2022/1/29,1D0,1,3_104,4820,2
2022/1/29,1D0,4,102_106,5086,2
2022/1/29,1D0,5,47,4982,1
2022/1/29,1D0,13,88,4539,1
2022/2/3,1B0,8,100_113_117,5940,3
2022/2/3,1B0,13,26_58_106,6742,3
2022/2/3,1B0,14,60_109,5620,2
2022/2/3,1B0,16,55_21_62,5654,3
2022/2/3,1C0,1,41_74,5414,2
2022/2/3,1C0,2,59_26,5758,2
2022/2/3,1C0,4,30_33,5685,2
2022/2/3,1D0,1,42_102,4926,2
2022/2/3,1D0,3,25_36_39,5182,3
2022/2/3,1D0,8,12,4480,1
2022/2/3,1D0,18,95_96,4427,2
2022/2/3,1D0,19,36_39_89,4202,3
2022/2/3,2B0,7,58_78_121,3748,3
2022/2/3,2C0,12,27_34_35_41,3823,4
2022/2/10,1B0,5,45_85,5983,2
2022/2/10,1C0,1,15,5497,1
2022/2/10,1C0,2,108_47,5861,2
2022/2/10,1C0,5,58_105,5403,2
2022/2/10,1C0,9,68_121,5484,2
2022/2/10,1C0,19,65,5280,1
2022/2/10,1D0,1,81,5039,1
2022/2/10,1D0,6,14_117,5104,2
2022/2/10,1D0,9,24_51,5041,2
2022/2/10,1E0,18,33_103_106,3909,3
2022/2/11,1C0,10,103_100,5457,2
2022/2/11,1D0,5,45_120,5231,2
2022/2/11,1E0,11,32,4279,1
2022/2/17,1B0,3,70_110,6421,2
2022/2/17,1C0,1,6_19,5520,2
2022/2/17,1C0,4,78_98,5949,2
2022/2/17,1C0,6,49_89,5815,2
2022/2/17,1C0,7,25_92,5848,2
2022/2/17,1C0,11,39_89,5374,2
2022/2/17,1E0,13,106,4239,1
2022/2/17,1E0,15,15,3751,1
2022/2/17,1E0,16,21_30,4030,2
2022/2/17,1D0,1,94,5174,1
2022/2/17,1D0,10,96_49,5098,2
2022/2/17,1D0,11,15_109,5037,2
2022/2/17,1D0,12,7_100,4986,2
2022/2/17,1D0,14,46_87,4859,2
2022/2/17,2B0,1,29_79_62,4368,3
2022/2/17,2B0,8,29_83_117,4296,3
2022/2/17,2B0,9,15_29_41,4226,3
2022/2/17,2B0,11,29_84,3780,2
2022/2/17,2B0,16,29_56_94,3920,3
2022/2/17,2B0,19,27_29_74,4010,3
2022/2/17,2D0,11,40_43_50,3821,3
2022/2/17,2E0,4,13_72_75,3421,3
2022/2/19,1B0,1,98_102_105,6435,3
2022/2/19,1B0,2,51,4919,1
2022/2/19,1B0,12,64_77_79,6050,3
2022/2/19,1E0,16,39,4058,1
2022/2/19,2B0,15,69,2527,1
2022/2/19,2C0,1,83,4293,1
2022/2/19,2D0,4,3_78_111,3664,3
2022/2/27,1B0,3,64_68_118,6615,3
2022/2/27,1B0,5,85_88_108,6171,3
2022/2/27,1B0,7,50_81_100,6042,3
2022/2/27,1B0,8,12_56_111,6344,3
2022/2/27,1C0,1,80_116,5601,2
2022/2/27,1D0,4,36_113,5562,2
2022/2/27,1D0,12,41_89,5158,2
2022/2/27,1E0,1,55_82_85,5118,3
2022/2/27,1E0,4,50_102,4899,2
2022/2/27,1E0,8,45_104,4721,2
2022/2/27,2B0,13,29_55_77,3941,3
2022/3/4,1B0,1,10_21,6641,2
2022/3/4,1B0,4,84,5959,1
2022/3/4,1B0,6,10_30_89_105,6411,4
2022/3/4,1B0,11,36_48_86,6403,3
2022/3/4,1B0,18,2_13_52,6076,3
2022/3/4,1C0,4,14_24,6177,2
2022/3/4,1C0,18,107_116,5731,2
2022/3/4,1E0,12,94_108,4659,2
2022/3/4,1E0,19,23_94,4398,2
2022/3/4,2B0,10,29_74_107,4396,3
2022/3/4,2C0,1,44_121,4514,2
2022/3/4,2E0,9,8_76_104,3391,3
2022/3/7,1C0,4,8_96,6214,2
2022/3/7,1C0,7,27_65,6198,2
